Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,Company,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values,Date
78.627,786.27,10,1.0,5.0,3.0,1000.0,10.0,keurigDrPepperInc,1.0,0.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
5.101,510.13,90,13.0,5.0,1.0,1000.0,10.0,basfSeN,10.0,1.0,0.0,9.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.896,506.48,80,10.0,5.0,1.0,1000.0,20.0,bnpParibasActA,13.0,1.0,1.0,11.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
4.843,484.33,90,13.0,5.0,1.0,1000.0,10.0,basf,10.0,1.0,0.0,9.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.023,483.73,80,10.0,5.0,1.0,1000.0,20.0,bnpParibas,16.0,1.0,1.0,14.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
4.419,397.75,100,11.0,5.0,1.0,1000.0,20.0,renault,9.0,2.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
4.017,361.54,100,11.0,5.0,1.0,1000.0,40.0,societeGenerale,9.0,1.0,0.0,8.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.457,345.72,100,12.0,5.0,1.0,1000.0,50.0,natwestGroupPlc,10.0,3.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
33.67,336.7,40,8.0,5.0,2.0,1000.0,0.0,tMobileUsInc,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
5.99,299.49,70,11.0,5.0,1.0,1000.0,60.0,symriseAgI,5.0,3.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
9.257,277.7,100,7.0,5.0,1.0,1000.0,10.0,legrand,3.0,1.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.381,276.3,40,10.0,5.0,1.0,1000.0,80.0,bouygues,20.0,6.0,1.0,13.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.354,258.93,40,13.0,5.0,1.0,1000.0,20.0,allianzSeV,11.0,4.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
5.905,236.22,100,6.0,5.0,1.0,1000.0,0.0,sanofi,4.0,0.0,0.0,4.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
11.81,236.2,50,9.0,5.0,1.0,1000.0,0.0,verisignInc,2.0,1.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
23.208,232.08,100,1.0,5.0,1.0,1000.0,20.0,sartoriusAgV,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.215,225.07,100,5.0,5.0,1.0,1000.0,20.0,saintGobain,7.0,0.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.037,224.07,40,13.0,5.0,1.0,1000.0,20.0,allianz,11.0,4.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.074,207.43,80,7.0,5.0,1.0,1000.0,0.0,engie,10.0,2.0,3.0,5.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.238,194.26,20,11.0,5.0,1.0,1000.0,50.0,volkswagenAgV,6.0,5.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.688,184.39,50,10.0,5.0,1.0,1000.0,10.0,schneiderElectricSe,5.0,1.0,0.0,4.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
9.08,181.61,30,5.0,5.0,1.0,1000.0,10.0,johnsonControlsInternational,2.0,1.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
8.937,178.74,50,5.0,5.0,1.0,1000.0,20.0,equityResidential,2.0,0.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
17.63,176.3,20,2.0,5.0,3.0,1000.0,0.0,expediaGroupInc,1.0,0.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.495,174.77,20,11.0,5.0,1.0,1000.0,40.0,volkswagen,5.0,4.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
16.116,161.16,60,2.0,5.0,1.0,1000.0,10.0,lasVegasSandsCorp,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.567,154.02,60,8.0,5.0,1.0,1000.0,80.0,wynnResortsLimited,6.0,3.0,2.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
5.079,152.37,100,8.0,5.0,1.0,1000.0,60.0,thales,3.0,2.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
7.43,148.59,70,8.0,1.0,4.0,1000.0,20.0,stellantis,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.815,145.19,90,4.0,1.0,4.0,1000.0,0.0,viel&Cie,8.0,4.0,0.0,4.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
7.185,143.7,50,5.0,5.0,1.0,1000.0,20.0,veoliaEnviron,2.0,1.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.352,141.11,40,6.0,5.0,1.0,1000.0,20.0,accor,6.0,4.0,1.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
6.919,138.37,100,10.0,2.0,3.0,1000.0,0.0,udrInc,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.264,126.39,80,2.0,1.0,3.0,1000.0,30.0,perrierIndustrie,10.0,6.0,0.0,4.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
12.581,125.81,100,2.0,5.0,1.0,1000.0,0.0,truistFinancialCorporation,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
12.399,123.99,100,4.0,5.0,1.0,1000.0,10.0,walgreensBootsAllianceInc,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
4.05,121.5,70,6.0,5.0,1.0,1000.0,0.0,totalEnergies,3.0,0.0,0.0,3.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.499,119.93,80,9.0,5.0,1.0,1000.0,10.0,axa,8.0,1.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.88,116.4,60,1.0,5.0,1.0,1000.0,0.0,fdjUnited,3.0,0.0,0.0,3.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
5.769,115.37,10,2.0,5.0,1.0,1000.0,10.0,dominoSPizzaInc,2.0,0.0,1.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
11.466,114.66,80,1.0,5.0,1.0,1000.0,0.0,rentokilInitialPlc,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.954,114.45,100,3.0,1.0,4.0,1000.0,30.0,danone,12.0,5.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.812,114.36,40,6.0,5.0,1.0,1000.0,10.0,daimlerTruckHoldingAgN,3.0,1.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.036,113.95,70,8.0,5.0,1.0,1000.0,0.0,rioTintoPlc,11.0,1.0,2.0,8.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
5.533,110.67,70,3.0,5.0,1.0,1000.0,10.0,siemensAgN,2.0,1.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.583,107.5,10,1.0,5.0,1.0,1000.0,20.0,cocaColaEuropacificPartners,3.0,1.0,2.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
10.729,107.29,70,1.0,5.0,1.0,1000.0,30.0,sPGlobalInc,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.543,106.28,30,12.0,5.0,1.0,1000.0,10.0,apolloGlobalManagementInc,3.0,3.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
10.499,104.99,100,1.0,5.0,1.0,1000.0,10.0,wRBerkleyCorporation,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
10.215,102.15,100,1.0,5.0,1.0,1000.0,40.0,informationServicesGroupInc,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.599,101.8,20,10.0,5.0,1.0,1000.0,10.0,orange,17.0,10.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
5.068,101.37,30,4.0,1.0,4.0,1000.0,10.0,genDigitalInc,2.0,0.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
10.132,101.32,100,3.0,5.0,1.0,1000.0,20.0,principalFinancialGroupInc,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
9.688,96.88,50,2.0,5.0,1.0,1000.0,20.0,deutschePostAgN,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.921,96.05,70,3.0,1.0,4.0,1000.0,40.0,bayerAgN,5.0,4.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
9.384,93.84,80,2.0,5.0,1.0,1000.0,10.0,vonoviaSeN,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
9.183,91.83,60,12.0,5.0,1.0,1000.0,0.0,rheinmetallAgI,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.787,89.34,20,11.0,5.0,1.0,1000.0,0.0,astrazenecaPlc,5.0,5.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
