Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,Company,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values,Date
2.241,268.97,100,11.0,5.0,1.0,1000.0,20.0,freseniusMedicalCareAgI,12.0,7.0,0.0,5.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.773,239.62,80,11.0,5.0,1.0,1000.0,10.0,camdenPropertyTrust,31.0,25.0,2.0,4.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.883,229.58,100,13.0,5.0,1.0,1000.0,0.0,blackstoneInc,26.0,15.0,1.0,10.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.853,221.73,100,14.0,5.0,1.0,1000.0,0.0,extraSpaceStorageInc,26.0,16.0,1.0,9.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.602,216.82,100,7.0,1.0,3.0,1000.0,10.0,huntingtonBancsharesIncorpora,36.0,34.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.619,216.8,100,9.0,1.0,4.0,1000.0,30.0,targaResourcesInc,35.0,32.0,0.0,3.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.339,210.44,100,3.0,1.0,4.0,1000.0,70.0,bxpInc,62.0,58.0,3.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.576,201.5,80,7.0,1.0,4.0,1000.0,40.0,apolloGlobalManagementInc,35.0,30.0,0.0,5.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.075,193.47,100,13.0,5.0,1.0,1000.0,0.0,pacificGasElectricCo,18.0,12.0,0.0,6.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
4.815,192.61,100,10.0,5.0,1.0,1000.0,20.0,engie,4.0,3.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.288,180.33,100,10.0,5.0,1.0,1000.0,10.0,kering,14.0,10.0,2.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.103,176.51,100,9.0,5.0,1.0,1000.0,0.0,intercontinentalHotelsGroup,16.0,7.0,1.0,8.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.265,169.39,100,5.0,1.0,4.0,1000.0,60.0,alexandriaRealEstateEquities,64.0,59.0,1.0,4.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.709,163.07,80,10.0,5.0,1.0,1000.0,10.0,pernodRicard,23.0,14.0,0.0,9.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.608,160.8,90,14.0,5.0,1.0,1000.0,20.0,foxCorporation,10.0,9.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
5.333,159.99,100,3.0,5.0,1.0,1000.0,0.0,siemensHealthineersAgN,3.0,2.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
7.572,151.45,100,1.0,5.0,1.0,1000.0,0.0,porscheAutomobilHoldingSeI,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.296,150.79,100,3.0,1.0,4.0,1000.0,40.0,alliantEnergyCorporation,51.0,44.0,2.0,5.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.001,150.05,100,6.0,5.0,1.0,1000.0,10.0,symriseAgI,5.0,4.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.239,145.91,100,5.0,1.0,3.0,1000.0,60.0,avalonbayCommunitiesInc,61.0,54.0,1.0,6.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.38,140.58,60,6.0,1.0,4.0,1000.0,10.0,seagateTechnologyHoldingsPlc,37.0,37.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.873,139.64,70,6.0,5.0,1.0,1000.0,30.0,thales,16.0,13.0,1.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.581,139.41,100,7.0,5.0,1.0,1000.0,40.0,lvmh,24.0,16.0,2.0,6.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.315,138.89,80,6.0,5.0,1.0,1000.0,10.0,essilorluxottica,6.0,4.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.601,138.34,100,13.0,5.0,1.0,1000.0,0.0,hewlettPackardEnterpriseComp,23.0,19.0,0.0,4.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.353,137.51,100,12.0,1.0,4.0,1000.0,20.0,digitalRealtyTrustInc,39.0,35.0,0.0,4.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.491,137.45,100,5.0,1.0,4.0,1000.0,20.0,nucorCorporation,28.0,27.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.297,133.55,60,9.0,1.0,3.0,1000.0,20.0,welltowerInc,45.0,38.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.182,132.54,90,5.0,1.0,4.0,1000.0,70.0,midAmericaApartmentCommuniti,73.0,63.0,1.0,9.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.189,130.77,60,8.0,5.0,1.0,1000.0,20.0,edenred,11.0,9.0,2.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.18,129.72,90,10.0,1.0,4.0,1000.0,70.0,essexPropertyTrustInc,72.0,67.0,0.0,5.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.256,127.8,100,4.0,1.0,4.0,1000.0,30.0,nisourceInc,50.0,39.0,1.0,10.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.55,127.49,60,10.0,5.0,1.0,1000.0,60.0,continentalAgI,5.0,5.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.223,122.81,100,9.0,1.0,4.0,1000.0,60.0,automaticDataProcessingInc,55.0,53.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.359,122.34,100,10.0,5.0,1.0,1000.0,10.0,sapSeI,9.0,3.0,0.0,6.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.283,121.6,100,11.0,1.0,3.0,1000.0,50.0,hostHotelsResortsInc,43.0,36.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.181,121.46,100,5.0,1.0,4.0,1000.0,70.0,kimcoRealtyCorporationHc,67.0,57.0,4.0,6.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
